Column1.1;Column1.2;Column1.3;Column1.4;Column1.5;Column1.6;Column1.7;Column1.8;Column1.9;Column1.10;Column1.11;Column1.12;Column1.13;Column1.14;Column1.15;Column1.16;Column1.17
COUNTRY;Country;SERIES;Series;PERIOD;Pay period;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2006;2006;USD;US Dollar;0;Units;;;17556.97;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2007;2007;USD;US Dollar;0;Units;;;18723.99;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2008;2008;USD;US Dollar;0;Units;;;19341.3;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2009;2009;USD;US Dollar;0;Units;;;19842.52;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2010;2010;USD;US Dollar;0;Units;;;19885.81;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2011;2011;USD;US Dollar;0;Units;;;19492.51;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2012;2012;USD;US Dollar;0;Units;;;19940.33;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2013;2013;USD;US Dollar;0;Units;;;20177.33;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2014;2014;USD;US Dollar;0;Units;;;20569.77;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2015;2015;USD;US Dollar;0;Units;;;21235.75;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2016;2016;USD;US Dollar;0;Units;;;21820.74;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2017;2017;USD;US Dollar;0;Units;;;22132.46;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2018;2018;USD;US Dollar;0;Units;;;22568.52;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2019;2019;USD;US Dollar;0;Units;;;23357.85;;
NZL;New Zealand;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2020;2020;USD;US Dollar;0;Units;;;25088.55;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2001;2001;USD;US Dollar;0;Units;;;14792.49;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2002;2002;USD;US Dollar;0;Units;;;15824.3;;
GBR;United Kingdom;EXR;In 2020 constant prices at 2020 USD exchange rates;A;Annual;2003;2003;USD;US Dollar;0;Units;;;16185.91;;
